new_file,original_file,classes,class_names,split,source
dataset_000001.jpg,1026741@0_01001_221006_P1_T3__1095.jpg,0,Can,train,영상추출
dataset_000002.jpg,818522@0_03001_220823_P1_T3__0375.jpg,1,Pet bottle,train,영상추출
dataset_000003.jpg,1243222@0_03002_221027_P1_T3__0511.jpg,1,Pet bottle,train,영상추출
dataset_000004.jpg,1244782@0_01001_221110_P1_T3__2772.jpg,0,Can,train,영상추출
dataset_000005.jpg,1200311@0_03001_221026_P1_T3__6254.jpg,1,Pet bottle,train,영상추출
dataset_000006.jpg,1086336@0_01001_221006_P1_T3__0512.jpg,0,Can,train,영상추출
dataset_000007.jpg,1197171@0_03002_221026_P1_T3__4767.jpg,1,Pet bottle,train,영상추출
dataset_000008.jpg,1002396@0_03001_220907_P1_T3__2691.jpg,1,Pet bottle,train,영상추출
dataset_000009.jpg,1087066@0_01002_221006_P1_T3__2146.jpg,0,Can,train,영상추출
dataset_000010.jpg,1257905@0_01001_221110_P1_T3__3925.jpg,0,Can,train,영상추출
dataset_000011.jpg,974145@0_03001_220907_P1_T3__0863.jpg,1,Pet bottle,train,영상추출
dataset_000012.jpg,1201252@0_03001_221026_P1_T3__6650.jpg,1,Pet bottle,train,영상추출
dataset_000013.jpg,1198577@0_03001_221026_P1_T3__1480.jpg,1,Pet bottle,train,영상추출
dataset_000014.jpg,1216903@0_01002_221026_P1_T3__6227.jpg,0,Can,train,영상추출
dataset_000015.jpg,1011742@0_01002_220906_P1_T3__2255.jpg,0,Can,train,영상추출
dataset_000016.jpg,955925@0_01002_220906_P1_T3__1821.jpg,0,Can,train,영상추출
dataset_000017.jpg,1133712@0_03001_221026_P1_T3__6063.jpg,1,Pet bottle,train,영상추출
dataset_000018.jpg,996052@0_03001_220907_P1_T3__2365.jpg,1,Pet bottle,train,영상추출
dataset_000019.jpg,949446@0_01002_220906_P1_T3__0706.jpg,0,Can,train,영상추출
dataset_000020.jpg,1003412@0_03001_220913_P1_T3__0409.jpg,1,Pet bottle,train,영상추출
dataset_000021.jpg,1063566@0_05001_221006_P1_T3__3182.jpg,2,Styrofoam,train,영상추출
dataset_000022.jpg,969263@0_03001_220906_P1_T3__1824.jpg,1,Pet bottle,train,영상추출
dataset_000023.jpg,1029002@0_01001_221006_P1_T3__0843.jpg,0,Can,train,영상추출
dataset_000024.jpg,1252530@0_01001_221110_P1_T3__2514.jpg,0,Can,train,영상추출
dataset_000025.jpg,1261521@0_01001_221110_P1_T3__2445.jpg,0,Can,train,영상추출
dataset_000026.jpg,1060527@0_03002_220907_P1_T3__0615.jpg,1,Pet bottle,train,영상추출
dataset_000027.jpg,1300453@0_03002_221028_P1_T3__0162.jpg,1,Pet bottle,train,영상추출
dataset_000028.jpg,1000143@0_03002_220913_P1_T3__2006.jpg,1,Pet bottle,train,영상추출
dataset_000029.jpg,1090944@0_03001_221026_P1_T3__6859.jpg,1,Pet bottle,train,영상추출
dataset_000030.jpg,1103563@0_05001_221006_P1_T3__3209.jpg,2,Styrofoam,train,영상추출
dataset_000031.jpg,1183669@0_03001_221026_P1_T3__3226.jpg,1,Pet bottle,train,영상추출
dataset_000032.jpg,1244210@0_01001_221110_P1_T3__2177.jpg,0,Can,train,영상추출
dataset_000033.jpg,1086658@0_01001_221006_P1_T3__2462.jpg,0,Can,train,영상추출
dataset_000034.jpg,1038318@0_01002_221006_P1_T3__0311.jpg,0,Can,train,영상추출
dataset_000035.jpg,1318863@0_03002_221028_P1_T3__0266.jpg,1,Pet bottle,train,영상추출
dataset_000036.jpg,1186766@0_01002_221026_P1_T3__3519.jpg,0,Can,train,영상추출
dataset_000037.jpg,1312372@0_05001_221020_P1_T3__1042.jpg,2,Styrofoam,train,영상추출
dataset_000038.jpg,996610@0_03001_220907_P1_T3__2675.jpg,1,Pet bottle,train,영상추출
dataset_000039.jpg,946462@0_01002_220906_P1_T3__2213.jpg,0,Can,train,영상추출
dataset_000040.jpg,1247012@0_01001_221110_P1_T3__2296.jpg,0,Can,train,영상추출
dataset_000041.jpg,1082774@0_01002_220907_P1_T3__1201.jpg,0,Can,train,영상추출
dataset_000042.jpg,1272423@0_03002_221027_P1_T3__0735.jpg,1,Pet bottle,train,영상추출
dataset_000043.jpg,1003873@0_03002_220913_P1_T3__0325.jpg,1,Pet bottle,train,영상추출
dataset_000044.jpg,1042255@0_05001_221006_P1_T3__1190.jpg,2,Styrofoam,train,영상추출
dataset_000045.jpg,1022542@0_01001_221006_P1_T3__3238.jpg,0,Can,train,영상추출
dataset_000046.jpg,1251058@0_03002_221026_P1_T3__0141.jpg,1,Pet bottle,train,영상추출
dataset_000047.jpg,1224996@0_01002_221026_P1_T3__0255.jpg,0,Can,train,영상추출
dataset_000048.jpg,1019939@0_01001_221006_P1_T3__3404.jpg,0,Can,train,영상추출
dataset_000049.jpg,1318454@0_05001_221020_P1_T3__0268.jpg,2,Styrofoam,train,영상추출
dataset_000050.jpg,1108454@0_05001_221006_P1_T3__2050.jpg,2,Styrofoam,train,영상추출
dataset_000051.jpg,1198951@0_03001_221026_P1_T3__4391.jpg,1,Pet bottle,train,영상추출
dataset_000052.jpg,1121570@0_03002_220907_P1_T3__0805.jpg,1,Pet bottle,train,영상추출
dataset_000053.jpg,1040573@0_01001_221006_P1_T3__2397.jpg,0,Can,train,영상추출
dataset_000054.jpg,1310230@0_03002_221028_P1_T3__0389.jpg,1,Pet bottle,train,영상추출
dataset_000055.jpg,1307363@0_03002_221028_P1_T3__0362.jpg,1,Pet bottle,train,영상추출
dataset_000056.jpg,1352093@0_03002_221026_P1_T3__2627.jpg,1,Pet bottle,train,영상추출
dataset_000057.jpg,997640@0_03002_220907_P1_T3__1141.jpg,1,Pet bottle,train,영상추출
dataset_000058.jpg,1028528@0_01001_221006_P1_T3__2823.jpg,0,Can,train,영상추출
dataset_000059.jpg,1083958@0_03001_221006_P1_T3__2666.jpg,1,Pet bottle,train,영상추출
dataset_000060.jpg,1031950@0_01001_221006_P1_T3__2287.jpg,0,Can,train,영상추출
dataset_000061.jpg,1448929@0_01002_221110_P1_T3__1426.jpg,0,Can,train,영상추출
dataset_000062.jpg,1031660@0_01001_221006_P1_T3__2154.jpg,0,Can,train,영상추출
dataset_000063.jpg,1189349@0_03002_221026_P1_T3__2530.jpg,1,Pet bottle,train,영상추출
dataset_000064.jpg,968457@0_03001_220913_P1_T3__0943.jpg,1,Pet bottle,train,영상추출
dataset_000065.jpg,1198237@0_03001_221026_P1_T3__2782.jpg,1,Pet bottle,train,영상추출
dataset_000066.jpg,943921@0_01002_220906_P1_T3__3501.jpg,0,Can,train,영상추출
dataset_000067.jpg,1017849@0_01002_220906_P1_T3__3186.jpg,0,Can,train,영상추출
dataset_000068.jpg,1309554@0_03002_221028_P1_T3__0016.jpg,1,Pet bottle,train,영상추출
dataset_000069.jpg,995507@0_03001_220907_P1_T3__0366.jpg,1,Pet bottle,train,영상추출
dataset_000070.jpg,1040629@0_01001_221006_P1_T3__2655.jpg,0,Can,train,영상추출
dataset_000071.jpg,997287@0_05001_220907_P1_T3__1321.jpg,2,Styrofoam,train,영상추출
dataset_000072.jpg,1041542@0_03002_220907_P1_T3__2100.jpg,1,Pet bottle,train,영상추출
dataset_000073.jpg,1311887@0_05001_221020_P1_T3__0086.jpg,2,Styrofoam,train,영상추출
dataset_000074.jpg,1043820@0_01001_221006_P1_T3__1628.jpg,0,Can,train,영상추출
dataset_000075.jpg,1005412@0_03001_220907_P1_T3__3447.jpg,1,Pet bottle,train,영상추출
dataset_000076.jpg,1083810@0_05001_221006_P1_T3__2745.jpg,2,Styrofoam,train,영상추출
dataset_000077.jpg,1122964@0_03001_221026_P1_T3__2913.jpg,1,Pet bottle,train,영상추출
dataset_000078.jpg,1269746@0_03002_221027_P1_T3__4435.jpg,1,Pet bottle,train,영상추출
dataset_000079.jpg,979375@0_03001_220907_P1_T3__0461.jpg,1,Pet bottle,train,영상추출
dataset_000080.jpg,1247198@0_01001_221110_P1_T3__0277.jpg,0,Can,train,영상추출
dataset_000081.jpg,1162723@0_03002_221026_P1_T3__2568.jpg,1,Pet bottle,train,영상추출
dataset_000082.jpg,1313570@0_05001_221020_P1_T3__0451.jpg,2,Styrofoam,train,영상추출
dataset_000083.jpg,1321104@0_03002_221028_P1_T3__0629.jpg,1,Pet bottle,train,영상추출
dataset_000084.jpg,1110085@0_03002_220907_P1_T3__0776.jpg,1,Pet bottle,train,영상추출
dataset_000085.jpg,1109914@0_03001_220907_P1_T3__0399.jpg,1,Pet bottle,train,영상추출
dataset_000086.jpg,1256484@0_01001_221110_P1_T3__2436.jpg,0,Can,train,영상추출
dataset_000087.jpg,1188783@0_03001_221026_P1_T3__6398.jpg,1,Pet bottle,train,영상추출
dataset_000088.jpg,1247781@0_01001_221110_P1_T3__0816.jpg,0,Can,train,영상추출
dataset_000089.jpg,1314563@0_05001_221020_P1_T3__0308.jpg,2,Styrofoam,train,영상추출
dataset_000090.jpg,1219500@0_03001_221026_P1_T3__0216.jpg,1,Pet bottle,train,영상추출
dataset_000091.jpg,1311396@0_05001_221020_P1_T3__0314.jpg,2,Styrofoam,train,영상추출
dataset_000092.jpg,1038750@0_01002_221006_P1_T3__0873.jpg,0,Can,train,영상추출
dataset_000093.jpg,1246228@0_01001_221110_P1_T3__1739.jpg,0,Can,train,영상추출
dataset_000094.jpg,1256610@0_01001_221110_P1_T3__4337.jpg,0,Can,train,영상추출
dataset_000095.jpg,1186878@0_01002_221026_P1_T3__6575.jpg,0,Can,train,영상추출
dataset_000096.jpg,943049@0_01002_220906_P1_T3__0804.jpg,0,Can,train,영상추출
dataset_000097.jpg,1122794@0_03001_221026_P1_T3__0826.jpg,1,Pet bottle,train,영상추출
dataset_000098.jpg,1037895@0_01002_221006_P1_T3__3483.jpg,0,Can,train,영상추출
dataset_000099.jpg,1110028@0_03001_220907_P1_T3__0999.jpg,1,Pet bottle,train,영상추출
dataset_000100.jpg,1323182@0_03002_221028_P1_T3__0853.jpg,1,Pet bottle,train,영상추출
dataset_000101.jpg,1305733@0_03002_221028_P1_T3__0422.jpg,1,Pet bottle,train,영상추출
dataset_000102.jpg,1022966@0_01001_221006_P1_T3__2289.jpg,0,Can,train,영상추출
dataset_000103.jpg,1304769@0_03002_221028_P1_T3__1046.jpg,1,Pet bottle,train,영상추출
dataset_000104.jpg,1312786@0_05001_221020_P1_T3__0184.jpg,2,Styrofoam,train,영상추출
dataset_000105.jpg,1202920@0_03001_221026_P1_T3__3027.jpg,1,Pet bottle,train,영상추출
dataset_000106.jpg,1257367@0_01001_221110_P1_T3__3022.jpg,0,Can,train,영상추출
dataset_000107.jpg,1309456@0_03002_221028_P1_T3__0244.jpg,1,Pet bottle,train,영상추출
dataset_000108.jpg,1259271@0_01001_221110_P1_T3__0812.jpg,0,Can,train,영상추출
dataset_000109.jpg,1256104@0_01001_221110_P1_T3__3865.jpg,0,Can,train,영상추출
dataset_000110.jpg,1214492@0_03001_221026_P1_T3__1227.jpg,1,Pet bottle,train,영상추출
dataset_000111.jpg,1247688@0_01001_221110_P1_T3__1545.jpg,0,Can,train,영상추출
dataset_000112.jpg,909412@0_03001_220907_P1_T3__1391.jpg,1,Pet bottle,train,영상추출
dataset_000113.jpg,948748@0_01002_220906_P1_T3__0587.jpg,0,Can,train,영상추출
dataset_000114.jpg,1306569@0_03002_221028_P1_T3__0821.jpg,1,Pet bottle,train,영상추출
dataset_000115.jpg,1000356@0_03001_220913_P1_T3__2100.jpg,1,Pet bottle,train,영상추출
dataset_000116.jpg,1302059@0_03002_221028_P1_T3__0663.jpg,1,Pet bottle,train,영상추출
